Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),22,18,12,21.089,0.865,1.30,0.01,13.000,14.000,17.000,17.000,18.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),139,17,12,21.089,0.812,8.17,0.09,11.000,13.000,17.000,19.000,21.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),356,16,13,21.089,0.755,20.98,0.32,9.000,12.000,15.000,18.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),359,16,13,21.089,0.778,21.16,0.29,11.000,13.000,16.000,19.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),207,16,13,21.089,0.774,12.19,0.17,10.000,13.000,16.000,19.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,3: Wednesday (W-W),0: All Day (12am-12am),1226,16,13,21.089,0.746,72.23,1.16,9.000,11.000,16.000,19.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,3: Wednesday (W-W),1: Early AM (12am-6am),21,17,12,21.089,0.819,1.24,0.01,14.000,16.000,19.000,21.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,3: Wednesday (W-W),2: Peak AM (6am-10am),287,14,15,21.089,0.686,16.93,0.37,7.000,9.000,14.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),316,16,13,21.089,0.771,18.61,0.26,9.000,13.000,16.000,19.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),403,16,13,21.089,0.750,23.76,0.38,10.000,12.000,16.000,18.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,3: Wednesday (W-W),5: Late PM (7pm-12am),198,16,13,21.089,0.778,11.68,0.16,11.000,12.000,16.000,19.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,4: Thursday (Th-Th),0: All Day (12am-12am),1171,16,13,21.089,0.761,69.01,1.03,9.000,12.000,16.000,19.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,4: Thursday (Th-Th),1: Early AM (12am-6am),18,16,13,21.089,0.752,1.09,0.02,10.000,11.000,16.000,17.000,22.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),198,16,13,21.089,0.753,11.68,0.18,8.000,12.000,16.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),364,16,13,21.089,0.759,21.44,0.32,9.000,12.000,16.000,19.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),423,16,13,21.089,0.770,24.95,0.35,10.000,12.000,16.000,19.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),167,16,13,21.089,0.752,9.85,0.15,8.000,12.000,16.000,18.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,5: Friday (F-F),0: All Day (12am-12am),1593,16,13,21.089,0.749,93.87,1.49,10.000,12.000,15.000,18.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,5: Friday (F-F),1: Early AM (12am-6am),14,17,12,21.089,0.818,0.80,0.01,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,5: Friday (F-F),2: Peak AM (6am-10am),149,16,13,21.089,0.765,8.79,0.13,7.000,11.000,16.000,19.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2022-06,5: Friday (F-F),3: Mid-Day (10am-3pm),404,16,13,21.089,0.757,23.82,0.36,10.000,13.000,16.000,18.000,20.000,22.000
