Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,5: Friday (F-F),4: Peak PM (3pm-7pm),2009,28,38,31.692,0.893,605.58,2.29
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,5: Friday (F-F),5: Late PM (7pm-12am),1276,28,38,31.692,0.890,384.70,1.50
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,6: Saturday (Sa-Sa),0: All Day (12am-12am),3850,28,38,31.692,0.895,1160.76,4.29
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,6: Saturday (Sa-Sa),1: Early AM (12am-6am),244,29,38,31.692,0.907,73.62,0.24
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),471,29,38,31.692,0.911,142.13,0.44
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),1271,29,38,31.692,0.906,383.07,1.26
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),1177,28,39,31.692,0.885,354.71,1.45
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),687,28,39,31.692,0.878,207.22,0.91
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,7: Sunday (Su-Su),0: All Day (12am-12am),3198,29,38,31.692,0.904,964.25,3.22
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,7: Sunday (Su-Su),1: Early AM (12am-6am),243,29,37,31.692,0.917,73.30,0.21
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,7: Sunday (Su-Su),2: Peak AM (6am-10am),347,29,37,31.692,0.925,104.61,0.27
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),1143,29,38,31.692,0.909,344.58,1.09
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),790,28,38,31.692,0.893,238.21,0.90
