Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),240,21,4,27.340,0.770,5.26,0.06,9.000,14.000,28.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,4: Thursday (Th-Th),5: Late PM (7pm-12am),106,21,4,27.340,0.755,2.31,0.03,11.000,14.000,28.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,5: Friday (F-F),0: All Day (12am-12am),858,22,4,27.340,0.795,18.80,0.18,9.000,14.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,5: Friday (F-F),1: Early AM (12am-6am),30,22,4,27.340,0.797,0.65,0.01,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,5: Friday (F-F),2: Peak AM (6am-10am),93,22,4,27.340,0.800,2.04,0.02,9.000,13.000,29.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,5: Friday (F-F),3: Mid-Day (10am-3pm),306,23,3,27.340,0.825,6.71,0.05,11.000,14.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,5: Friday (F-F),4: Peak PM (3pm-7pm),265,21,4,27.340,0.775,5.81,0.06,10.000,14.000,28.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,5: Friday (F-F),5: Late PM (7pm-12am),164,21,4,27.340,0.767,3.59,0.04,8.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,6: Saturday (Sa-Sa),0: All Day (12am-12am),644,22,4,27.340,0.791,14.11,0.14,9.000,13.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,6: Saturday (Sa-Sa),1: Early AM (12am-6am),38,22,4,27.340,0.803,0.84,0.01,15.000,17.000,28.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),46,21,4,27.340,0.754,1.01,0.01,10.000,11.000,30.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),229,22,4,27.340,0.809,5.02,0.04,10.000,13.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),180,22,4,27.340,0.786,3.94,0.04,9.000,13.000,28.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),151,21,4,27.340,0.780,3.30,0.03,11.000,14.000,29.000,35.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,7: Sunday (Su-Su),0: All Day (12am-12am),467,21,4,27.340,0.775,10.24,0.11,8.000,13.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,7: Sunday (Su-Su),1: Early AM (12am-6am),26,20,4,27.340,0.725,0.57,0.01,9.000,12.000,18.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,7: Sunday (Su-Su),2: Peak AM (6am-10am),40,22,4,27.340,0.795,0.88,0.01,9.000,13.000,27.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),176,21,4,27.340,0.750,3.86,0.05,6.000,12.000,28.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),154,21,4,27.340,0.778,3.38,0.04,8.000,13.000,30.000,35.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,7: Sunday (Su-Su),5: Late PM (7pm-12am),71,23,3,27.340,0.836,1.56,0.01,5.000,14.000,30.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-03,0: All Days (M-Su),0: All Day (12am-12am),706,22,4,30.272,0.713,15.48,0.21,9.000,13.000,29.000,33.000
